"plot","species_1","species_2","species_3","heigth_A","heigth_B","heigth_C","heigth_D","PAR_sup","PAR_inf","nitrogen","date","PAR_start","PAR_end","first_flower","mean_height"
"228","54","Hl","-","-",0,0,30,0,192,125,"1",2020-05-02,"11h00","12h50","0",7.5
"229","55","Lp","-","-",14.5,8,0,14,185,105,"0",2020-05-02,"11h00","12h50","0",9.125
"230","55","Lp","-","-",19,11,16,25,185,144,"1",2020-05-02,"11h00","12h50","0",17.75
"231","56","Pm","-","-",5,2,0,3,188,188,"0",2020-05-02,"11h00","12h50","1",2.5
"232","56","Pm","-","-",7,8,5,6.5,188,185,"1",2020-05-02,"11h00","12h50","1",6.625
"233","57","Pt","-","-",0,0,0,19.5,183,183,"0",2020-05-02,"11h00","12h50","0",4.875
"234","57","Pt","-","-",15,12,0,24.5,183,145,"1",2020-05-02,"11h00","12h50","0",12.875
"235","58","Be","-","-",21,17.5,9.5,19,187,175,"0",2020-05-02,"11h00","12h50","0",16.75
"236","58","Be","-","-",16,27.5,0,17.5,187,160,"1",2020-05-02,"11h00","12h50","0",15.25
"237","59","Ra","-","-",14.5,11.5,18,20.5,190,27,"0",2020-05-02,"11h00","12h50","0",16.125
"238","59","Ra","-","-",16.5,11.5,14,16.5,190,18,"1",2020-05-02,"11h00","12h50","0",14.625
"239","60","To","-","-",0,15,0,12,189,70,"0",2020-05-02,"11h00","12h50","1",6.75
"240","60","To","-","-",14,0,5.5,0,189,90,"1",2020-05-02,"11h00","12h50","1",4.875
"241","1","To","Dc","Ra",11,11.5,0,0,190,103,"0",2020-05-02,"11h00","12h30",NA,5.625
"242","1","To","Dc","Ra",15.5,19,18.5,15.5,190,10.6,"1",2020-05-11,"11h00","12h30",NA,17.125
